CustomProperty,CustomPropertyDefinition,EntityType,CommonProperty,CommonPropertyDefinition,PSET,datatype,InitialScore,Score,ManualScore,P1 Aspects 1,P1 Aspects 2,P2 Aspects 1,P2 Aspects 2,IsUnitSame,Aspect Overlap,Suggest Score
horizontal projection,parallel to the plane of the horizon; at right angles to the vertical.the representation of a figure or solid on a plane as it would look from a particular direction,IfcBeam,Roll,"Rotation against the longitudinal axis - relative to the global Z direction for all beams that are non-vertical in regard to the global coordinate system (Profile direction equals global Z is Roll = 0.)

The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached property, the geometric parameters take precedence.  For geometry editing applications, like CAD: this value should be write-only.

Note: new property in IFC4",Pset_BeamCommon,IfcPlaneAngleMeasure,0.340267181,1.701335905,1.5,Software-dependent Analytics,Geometry,Position and Topology ,,Different,Not Equivalent,1
volume,"The term volume generally refers to a measurement of a three-dimensional shape that is enclosed by a closed surface. It is used to specify the amount of space that a substance such as a solid, liquid or gas occupies.",IfcWall,HollowCorePlugging,"A descriptive label for how the hollow core ends are treated: they may be left open, closed with a plug, or sealed with cast concrete. Values would be, for example: 'Unplugged', 'Plugged', 'SealedWithConcrete'. This property applies to  hollow core slabs only.",Pset_PrecastConcreteElementGeneral,IfcLabel,0.43271023,2.16355115,1.5,Geometry,,Identity,,Different,Not Equivalent,1
angled join,2 railing segments meet at an angle in plan but do not connect vertically,IfcRailing,ReinforcementVolumeRatio,The required ratio of the effective mass of the reinforcement to the effective volume of the concrete of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcMassDensityMeasure,0.262559831,1.312799155,2.5,Structural Properties,,Structural Properties,,Different,Fully Equivalent,3
classification description,"Classification can be defined as, 'The act or process of dividing things into groups according to their type.'Description is the pattern of narrative development that aims to make vivid a place, object, character, or group. Description is one of four rhetorical modes (also known as modes of discourse), along with exposition, argumentation, and narration.[2] In practice it would be difficult to write literature that drew on just one of the four basic modes.",IfcWall,TypeDesignator,"Type designator for the precast concrete element. The content depends on local standards. For instance in Finland it usually a one-letter acronym, e.g. P=Column, K=reinforced concrete beam,etc.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.302410007,1.512050035,3.5,Identity,Project Information,Identity,Project Information,"Same,Different Constrain",Fully Equivalent,4
desired number of riser,The number of risers is calculated based on the height between levels.,IfcStair,ArticleNumber,Article number or reference that is be applied to a configured product according to a standard scheme for article number definition as defined by the manufacturer. It is often used as the purchasing number.,Pset_ManufacturerTypeInformation,IfcIdentifier,0.392820358,1.96410179,1.3,Position and Topology ,,Identity,,Different,Not Equivalent,1
head height,the top of somethingthe vertical dimension of extension; distance from the base of something to the top,IfcDoor,Width,"Total outer width of the door lining. It should only be provided, if it is a rectangular door.",Qto_DoorBaseQuantities,ENUM,0.300147176,1.50073588,3,Geometry,,Geometry,,Different,Fully Equivalent,3
projected area,"Projected area is the two dimensional area measurement of a three-dimensional object by projecting its shape on to an arbitrary plane. This is often used in mechanical engineering and architectural engineering related fields, specifically hardness testing, axial stress, wind pressures, and terminal velocity.",IfcRoof,ExposureClass,"Classification of exposure to environmental conditions, usually specified in accordance with the concrete design code which is applied in the project.",Pset_ConcreteElementGeneral,IfcLabel,0.387302607,1.936513035,1,Geometry,Software-dependent Analytics,Identity,Structural Properties,Different,Not Equivalent,1
symbol,an arbitrary sign (written or printed) that has acquired a conventional significance,IfcBuildingStorey,AgreementType,Identifies the predefined types of property agreement from which the type required may be set.,Pset_PropertyAgreement,ENUM,0.236659318,1.18329659,1.7,Identity,,Facility Information,Identity,Different,Partial Equivalent,2
symbol at end 2 default,Places a bubble by default at the right end of the level line.,IfcBuildingStorey,NetFloorArea,"Sum of all net areas of spaces within the building storey. It excludes the area of construction elements within the building storey. May be provided in addition to the quantities of the spaces assigend to the storey. In case of inconsistencies, the individual quantities of spaces take precedence.",Qto_BuildingStoreyBaseQuantities,ENUM,0.307022035,1.535110176,1,Software-dependent Analytics,Position and Topology ,Geometry,,Different,Not Equivalent,1
phase,A phase represents a grouping of similar activities that has a very loosely defined beginning and end. ,IfcSpace,NetWallArea,"Sum of all wall (and other vertically bounding elements, like columns) areas bounded by the space. It excludes the area covered by elements inside the wall area (doors, windows, other openings, etc.).",Qto_SpaceBaseQuantities,ENUM,0.364873528,1.82436764,1,Project Information,,Geometry,,Different,Not Equivalent,1
rigid links,This option defines rigid links in a structure. A rigid link is used to model completely rigid elements of elastic structures (definition of a rigid body in a structure).,IfcBeam,StructuralClass,The structural class defined for the concrete structure (e.g. '1').,Pset_ConcreteElementGeneral,IfcLabel,0.431273222,2.15636611,3.1,Structural Properties,,Structural Properties,,Different,Fully Equivalent,3
manufacturer,"A manufacturer is an organisation or business that produces goods to sell them to a customer. Manufacturers transform raw materials, components, assemblies, and so on, into finished products, often involving processes organised into a production line.",IfcWall,WarrantyPeriod,The time duration during which a manufacturer or supplier guarantees or warrants the performance of an artefact.,Pset_Warranty,IfcDuration,0.342226774,1.71113387,1.6,Identity,Project Information,Project Information,,Different,Partial Equivalent,2
cross section rotation,"""cross section, also simply called a section, represents a vertical plane cut through the object, in the same way as a floor plan is a horizontal section viewed from the top. a transformation in which the coordinate axes are rotated by a fixed angle about the origin""",IfcBeam,Roll,"Rotation against the longitudinal axis - relative to the global Z direction for all beams that are non-vertical in regard to the global coordinate system (Profile direction equals global Z is Roll = 0.)

The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached property, the geometric parameters take precedence.  For geometry editing applications, like CAD: this value should be write-only.

Note: new property in IFC4",Pset_BeamCommon,IfcPlaneAngleMeasure,0.437847555,2.189237775,3.5,Position and Topology ,,Position and Topology ,Geometry,"Same,Different Constrain",Partial Equivalent,3
enable analytical model,"render capable or able for some taskAnalytical Model. A representation of the structural physical model consisting of analytical elements, geometry, material properties, and loads. It is created automatically while creating the physical model. ",IfcWall,StrengthClass,Classification of the concrete strength in accordance with the concrete design code which is applied in the project.,Pset_ConcreteElementGeneral,IfcLabel,0.377839953,1.889199765,0.5,Software-dependent Analytics,,Identity,,Different,Not Equivalent,1
stick symbol location,an implement consisting of a length of woodan arbitrary sign (written or printed) that has acquired a conventional significance,IfcBeam,Exclusions,"Items, conditions or actions that may be excluded from the warranty or that may cause the warranty to become void.",Pset_Warranty,IfcText,0.350084126,1.75042063,1,Identity,,Project Information,,Different,Not Equivalent,1
panel,"A thin flat piece of wood, plywood, or similar material, framed by stiles and rails as in a door (or cabinet door), or fitted into grooves of thicker material with molded edges for decorative wall treatment.",IfcBeam,AsBuiltLocationNumber,"Defines a unique location within a structure, the slot into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.360139012,1.80069506,0.9,Geometry,Structural Properties,Project Information,,Different,Not Equivalent,1
baluster offset,Offsets the balusters from the rail sketch line,IfcRailing,ModelReference,The model number or designator of the product model (or product line) as assigned by the manufacturer of the manufactured item.,Pset_ManufacturerTypeInformation,IfcLabel,0.186417475,0.932087375,1.2,Geometry,Position and Topology ,Identity,,Different,Not Equivalent,1
color,"Color (American English), or colour (Commonwealth English), is the characteristic of visual perception described through color categories, with names such as red, orange, yellow, green, blue, or purple. This perception of color derives from the stimulation of photoreceptor cells (in particular cone cells in the human eye and other vertebrate eyes) by electromagnetic radiation (in the visible spectrum in the case of humans). Color categories and physical specifications of color are associated with objects through the wavelengths of the light that is reflected from them and their intensities. This reflection is governed by the object's physical properties such as light absorption, emission spectra, etc.",IfcWall,ExtendToStructure,Indicates whether the object extend to the structure above (TRUE) or not (FALSE).,Pset_WallCommon,IfcBoolean,0.305189818,1.52594909,1,Material and Finish,,Position and Topology ,,Different,Not Equivalent,1
start extension,Applies to steel beams only. A dimension that adds beam geometry beyond the start end of the beam.,IfcBeam,GrossVolume,"Total gross volume of the beam, not taking into account possible processing features (cut-out's, etc.) or openings and recesses.",Qto_BeamBaseQuantities,ENUM,0.547961295,2.739806473,2.9,Geometry,,Geometry,,Different,Fully Equivalent,3
horizontal projection,parallel to the plane of the horizon; at right angles to the vertical.the representation of a figure or solid on a plane as it would look from a particular direction,IfcBeam,BatterAtStart,"The angle, in radians, by which the formwork at the starting face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric prestressing.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.358633429,1.793167145,1,Software-dependent Analytics,Geometry,Position and Topology ,Structural Properties,Different,Not Equivalent,1
sill height,Specifies the height of the sill in relation to the level on which this instance is placed.,IfcDoor,AssessmentDate,Date on which the overall condition is assessed,Pset_Condition,IfcDate,0.308302462,1.541512311,1.3,Position and Topology ,,Facility Information,,Different,Not Equivalent,1
riser to tread connection,Specifies the connection of the riser and tread in relation to each other.,IfcStair,HasNonSkidSurface,Indication whether the surface finish is designed to prevent slippery (TRUE) or not (FALSE).,Pset_StairCommon,IfcBoolean,0.180776522,0.90388261,1,Position and Topology ,Structural Properties,Material and Finish,Facility Information,Different,Not Equivalent,1
lateral justification,Many projects require the offsetting of structural framing members in the horizontal direction and Revit Structure provides only one tool to enable the Horizontal offset of a structural frame. This is called lateral justification,IfcBeam,BatterAtStart,"The angle, in radians, by which the formwork at the starting face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric prestressing.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.371402502,1.85701251,2.5,Position and Topology ,Structural Properties,Position and Topology ,Structural Properties,Different,Fully Equivalent,3
end extension,Applies to steel beams only. A dimension that adds beam geometry beyond the finish end of the beam.,IfcBeam,TypeDesignator,"Type designator for the precast concrete element. The content depends on local standards. For instance in Finland it usually a one-letter acronym, e.g. P=Column, K=reinforced concrete beam,etc.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.478854507,2.394272536,1,Geometry,,Identity,Project Information,Different,Not Equivalent,1
z direction justification,"""The direction aligned with the z-axis of a coordinate system.The justification parameters reposition the geometry of the element in relation to the location line""",IfcBeam,BatterAtEnd,"The angle, in radians, by which the formwork at the ending face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric prestressing.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.393732488,1.96866244,3,Position and Topology ,,Position and Topology ,Structural Properties,"Same,Different Constrain",Partial Equivalent,3
