CustomProperty,CustomPropertyDefinition,Nugget,EntityType,HasEquivalentPropertyInSchema,CorrepondingCommonProperty
Sill nosing,"Sill nosing is used to cover concrete or wood sub-sill. It provides an attractive finished look to new and old door openings, covering defects in sub-sill. These stops will affect the pivot hole location of an assembly. Sill nosing is held in place with mastic and pressure from threshold placement.",cover concrete or wood sub-sill,IfcWindow,FALSE,
slat width ,"A framed opening, as in a wall, door, or window, fitted with fixed or movable horizontal slats for admitting air or light and often for shedding rain. b. One of the slats used in such an opening. Width.",fitted with fixed or movable horizontal slats,IfcWindow,FALSE,
mortar thickness,"If the bricks or blocks around a window fall out of the window frame, mortar may be used as an adhesive to replace them. It should be mixed according to the directions on the packaging to create a thick, heavy adhesive and spread around the inside of each hole in the window frame. thickness",mortar may be used as an adhesive to replace them,IfcWindow,FALSE,
shutter panel,"Shutter panels and components that work together to cover a window opening. Single Tier. A shutter unit that has one set of shutters from top to bottom. A single tier shutter may contain a divider rail, or may be a cafe type shutter unit that covers only the lower portion of a window.",Shutter panels and components that work together to cover a window opening,IfcWindow,FALSE,
Slant angle ,Angle of an inclined Beam,Angle of an inclined Beam,IfcBeam,TRUE,Slope
Structural function ,"In collaborating with partners who are using structural programs, you can export your ARCHICAD model to IFC format: the Structural Function classification (assigned in ARCHICAD) automatically adds the “load-bearing” property to structural elements in the export file.",Structural Function classification (assigned in ARCHICAD),IfcBeam,FALSE,
End surface,Name of the surface assigned to the two end surfaces of the Beam.,surface assigned to the two end surfaces of the Beam,IfcBeam,FALSE,
Beam cross section,Shape of the Beam’s cross-section (either “regular” or “complex”) as defined in the Beam Settings dialog box.,Shape of the Beam’s cross-section,IfcBeam,TRUE,CrossSectionArea
Net Volume,Net volume of the element. Reduced by Solid Element Operations.,Net volume of the element,IfcBeam,TRUE,NetVolume
Offset ,An offset will allow you to draw the beam at a different physical location than where the neutral axis actually is. The image below shows how the processor sees the beam elements with the beam offsets.,draw the beam at a different physical location,IfcBeam,FALSE,
Position ,the particular portion of space occupied by something,particular portion of space,IfcBeam,FALSE,
Edge surface area,"Area of the surface of all the Slab edges. Value is reduced by any trims, but does not take SEO’s into account.",Area of the surface of all the Slab edges,IfcSlab,FALSE,
Elevation top,Elevation of the top of the Slab,Elevation of the top of the Slab,IfcSlab,FALSE,
Cover fill,Name of the cover fill (if any) assigned to the Slab.,Name of the cover fill,IfcSlab,FALSE,
Conditional volume,"Volume of the Slab, subtracting the volume of any openings that exceed a given size as defined in Options > Project Preferences > Calculation Units & Rules (“Reduce Slab volume by…”). Takes trims and SEO’s into account.","Volume of the Slab, subtracting the volume of any openings",IfcSlab,TRUE,NetVolume
Edge surface,Name of the surface assigned to the edges of the Slab.,surface assigned to the edges of the Slab,IfcSlab,FALSE,
Walking line length,Length of Calculated Walking Line,Length of Calculated Walking Line,IfcStair,FALSE,
Stair pitch,"the angle the pitch line makes with the horizontal, measured in degrees.","the pitch line makes with the horizontal, measured in degrees",IfcStair,FALSE,
Required headroom height ,"Between two floors, the headroom is the clear vertical space between the two decks, from the top of the finished floor level of the lower deck, to the underside of the soffit of the upper deck. Low headroom may increase the likelihood of injury or the difficulty of manoeuvring large objects.",the headroom is the clear vertical space between the two decks,IfcStair,TRUE,RequiredHeadroom
Default riser height ,Riser Height as defined in Stair settings,Riser Height as defined in Stair settings,IfcStair,TRUE,RiserHeight
Total surface area,the total sum of all surfaces of an element.,total sum of all surfaces of an element,IfcSlab,TRUE,GrossArea
Bottom surface area,Area of the Surface of the Slab Bottom,Area of the Surface of the Slab Bottom,IfcSlab,FALSE,
Walking line,a line on the plan of a curving staircase on which all treads are of a uniform width and that is considered to be the ordinary path taken by persons on the stair.,a line on the plan of a curving staircase on which all treads are of a uniform width,IfcStair,TRUE,WalkingLineOffset
inner width ,"Interior. Width is defined as the quality of being wide, or the measurement of distance from side to side.",the quality of being wide,IfcRailing,FALSE,
Rotation angle ,"a measurement of the amount, of namely angle, that a figure is rotated about a fixed point, often the center of a circle.","the amount, of namely angle, that a figure is rotated about a fixed point",IfcBeam,TRUE,Roll
Service Life,"""a product's total life in use from the point of sale to the point of discard"" and distinguished from replacement life,""the period after which the initial purchaser returns to the shop for a replacement"".",product's total life in use,IfcBeam,TRUE,ServiceLifeDuration
Element Weight ,the vertical force exerted by a mass as a result of gravity of component ,vertical force exerted by a mass,IfcBeam,TRUE,NetWeight
Fire Resistance Rating,"A fire-resistance rating typically means the duration for which a passive fire protection system can withstand a standard fire resistance test. This can be quantified simply as a measure of time, or it may entail a host of other criteria, involving other evidence of functionality or fitness for purpose.",the duration for which a passive fire protection system can withstand a standard fire resistance test,IfcBeam,TRUE,FireRating
Is Combustible ,"A combustible material is a solid or liquid than can be easily ignited and burned. OSHA, DOT, and other federal regulations, apply specific technical definitions to this term. Combustible solids are those capable of igniting and burning. Wood and paper are examples of such materials.",A combustible material is a solid or liquid than can be easily ignited and burned,IfcSlab,TRUE,Combustible
Stored energy ,the capture of energy produced at one time for use at a later time,the capture of energy produced at one time for use at a later time,IfcBeam,FALSE,
Sound Transmission class,an integer rating of how well a building partition attenuates airborne sound. ,an integer rating of how well a building partition attenuates airborne sound,IfcCovering,TRUE,AcousticRating
Thermal Transmittance ,the rate of transfer of heat through matter. The thermal transmittance of a material (such as insulation or concrete) or an assembly (such as a wall or window) is expressed as a U-value.,the rate of transfer of heat through matter,IfcRoof,TRUE,ThermalTransmittance
Lifting weight ,the vertical force exerted by a mass as a result of gravity of raise from a lower to a higher position,the vertical force exerted by a mass as a result of gravity of raise from a lower to a higher position,IfcStair,TRUE,LiftingStrength
Fire exit,"a door that is used to let people out of a building such as a cinema, hotel, restaurant etc when there is a fire","a door that is used to let people out of a building such as a cinema, hotel, restaurant etc when there is a fire",IfcStair,TRUE,FireExit
Handicap accessible,"A handicap is a barrier, such as stairs that handicap passage by a person using a wheelchair. The term ""accessible"" means ""in compliance with the accessibility guidelines."" An accessible facility has no barriers. ","A handicap is a barrier, such as stairs that handicap passage by a person using a wheelchair",IfcStair,TRUE,HandicapAccessible
fragility rating,quality of being easily damaged or destroyed,quality of being easily damaged or destroyed,IfcCovering,TRUE,FragilityRating
Concrete Cover At Main Bars,The protective concrete cover at the main reinforcing bars according to local building regulations.,The protective concrete cover at the main reinforcing bars according to local building regulations.,IfcBeam,TRUE,ConcreteCoverAtMainBars
Gross volume,Includes the volume of any holes. Reduced by trims.,Includes the volume of any holes,IfcBeam,TRUE,GrossVolume
Shape type,"Shape of Stair bot­tom, as defined in Flight Structure Set­tings.",Shape of Stair bot­tom,IfcStair,FALSE,
Component type,"Core, Finish, or Other","Core, Finish, or Other",IfcStair,FALSE,
3D length ,"Length of construction element, as projected from its Reference Line.","Length of construction element,",IfcRailing,TRUE,Length
Front Sur­face Area,Total Surface area of the Stair from the front,Total Surface area of the Stair from the front,IfcBeam,FALSE,
Composite structure,"Walls, Slabs, Roofs and Shells can be defined as composite structures.","Walls, Slabs, Roofs and Shells can be defined as composite structures.",IfcBeam,FALSE,
Top Surface,Name of Surface assigned to the Top Surface of the Slab.,Name of Surface assigned to the Top Surface of the Slab,IfcSlab,FALSE,
Bottom Surface,Name of the Surface assigned to the Bottom Surface of the Slab.,Name of the Surface assigned to the Bottom Surface of the Slab,IfcSlab,FALSE,
Length Left,Beam length on its left side.,Beam length on its left side.,IfcBeam,FALSE,
Elevation to project zero ,"Element's absolute eleva­tion, measured from zero.",Element's absolute eleva­tion,IfcSlab,FALSE,
Holes volume ,Total volume of all holes in the Beam.,Total volume of all holes in the Beam.,IfcBeam,FALSE,
manufacturer name,"A manufacturer is an organisation or business that produces goods to sell them to a customer. Manufacturers transform raw materials, components, assemblies, and so on, into finished products, often involving processes organised into a production line. a language unit by which a person or thing is known.",an organisation or business that produces goods,IfcRailing,TRUE,Manufacturer
model,"a model is a representation, often three-dimensional, of a structure system or procedure. It can represent something that already exists, or may be a model that it is intended will be adopted or followed.",a representation,IfcRailing,TRUE,ModelReference
"Global Warming Potential	","Global warming potential (GWP) is the heat absorbed by any greenhouse gas in the atmosphere, as a multiple of the heat that would be absorbed by the same mass of carbon dioxide (CO
2).",heat absorbed by any greenhouse gas,IfcRoof,TRUE,ClimateChange
Handrail System,A Handrail System is an important part of making your ramp or stairs friendly for those who need assistance.,,IfcStair,FALSE,HandicapAccessible
Floor Thickness,"Flooring is the general term for a permanent covering of a floor, or for the work of installing such a floor covering. Floor covering is a term to generically describe any finish material applied over a floor structure to provide a walking surface. Both terms are used interchangeably but floor covering refers more to loose-laid materials.",covering of a floor,IfcCovering,TRUE,Width
"Weight	",the vertical force exerted by a mass as a result of gravity of component,gravity of component,IfcSlab,TRUE,GrossWeight
"Air Permeability	",Air Permeability refers to the amount of air that will travel through a window or door system in its closed position.,amount of air that will travel through a window,IfcWindow,TRUE,Infiltration
"ResistanceToWindLoad	","The resistance wind load is the capacity of a window, subjected to strong pressures, like that caused by wind, to maintain an acceptable deformation and to preserve its property.","the capacity of a window, subjected to strong pressures",IfcWindow,TRUE,WindLoadRating
"Finish Options	","Finishes are used in the final part of the construction or manufacturing process, forming the final surface of an element. They can protect the element they finish from impact, water, frost, corrosion, abrasion, and so on, and/or they can be decorative.",the final surface of an element,IfcRamp,TRUE,HasNonSkidSurface
"CompressiveStrength		","In mechanics, compressive strength or compression strength is the capacity of a material or structure to withstand loads tending to reduce size (as opposed to tensile strength which withstands loads tending to elongate)",,IfcRamp,TRUE,LiftingStrength
Durability,"Durability is the resistance to degradation of products, materials, buildings and other built assets over time. This can be a difficult property to assess - whilst a tough material may be hard to the touch but it may also be non-durable if it decomposes or is eroded in a relatively short period of time.",,IfcCovering,FALSE,
